Latitude,Longitude
40.749626,-73.940106
40.634136,-74.135379
40.56066,-74.125714
40.867037,-73.858912
,
40.857959,-73.833203
40.63074,-73.973931
40.737424,-73.973261
40.807952,-73.922827
,
40.63074,-73.973931
40.82829,-73.936697
40.634136,-74.135379
40.626741,-73.975773
40.739476,-73.985728
40.634136,-74.135379
40.645995,-74.080225
40.652765,-73.882819
40.652765,-73.882819
40.737424,-73.973261
40.803081,-73.913235
40.752695,-73.898838
40.594073,-73.99322
40.814002,-73.927885
40.656182,-74.00404
40.699978,-73.80378
40.69493,-73.802071
40.811158,-73.886861
40.641235,-74.13224
40.704653,-73.787551
40.680901,-73.986739
40.761041,-73.839849
40.635121,-74.128416
40.736548,-73.892963
40.63894,-73.744071
40.725901,-73.932367
40.756928,-73.943471
40.676864,-73.903092
40.678328,-73.982839
40.654291,-73.933261
40.686233,-73.935368
40.664837,-73.935666
40.653901,-73.933889
40.67652,-73.947487
40.650296,-73.95349
40.661073,-73.943004
40.678193,-73.913845
40.654572,-73.961153
40.63236,-74.026182
40.593511,-73.967478
40.662083,-73.905247
40.636458,-73.95761
40.688799,-74.018675
40.688799,-74.018675
40.688799,-74.018675
40.688799,-74.018675
40.688799,-74.018675
40.688799,-74.018675
40.70526,-73.987474
40.699706,-73.998092
40.703889,-73.993966
40.699706,-73.998092
40.69681,-73.999888
40.694644,-74.00097
40.692896,-74.002142
40.763024,-73.949577
40.808838,-73.889126
40.663696,-73.8758
40.719973,-73.908863
40.824268,-73.882654
40.7579,-73.942875
40.696049,-73.801844
40.724363,-73.959799
40.628059,-73.998354
40.810299,-73.883759
40.681117,-73.984958
40.704786,-73.785152
40.671539,-73.991716
40.828367,-73.914344
40.678979,-74.013588
40.718072,-73.921596
40.676614,-73.899783
40.718808,-73.98259
40.813124,-73.9439
40.808716,-73.887183
40.687383,-73.802988
40.706316,-73.87738
40.539459,-74.237026
40.808871,-73.885767
40.718936,-73.921256
40.62799,-73.998242
40.771719,-73.915197
40.72428,-73.916736
40.657741,-73.900103
40.57641,-73.976173
40.594121,-73.960435
40.60259,-74.003083
40.62797,-73.941646
40.625761,-73.991415
40.648642,-73.950334
40.638995,-74.022462
40.648386,-73.904943
40.630359,-73.973711
40.664517,-73.947745
40.63513,-74.074826
40.657008,-73.938193
40.741225,-73.731149
40.747609,-73.724096
40.581665,-74.077887
40.785589,-73.92949
40.759589,-73.799161
40.768374,-73.876608
40.711477,-73.762553
40.705428,-73.750745
40.764717,-73.773262
40.728044,-73.797903
40.754046,-73.798546
40.682464,-73.799469
40.839263,-73.867652
40.870974,-73.886958
40.825422,-73.875296
40.812945,-73.904964
40.883712,-73.848656
40.836343,-73.910557
40.819236,-73.927597
40.863089,-73.893193
40.839222,-73.922895
40.867399,-73.888645
40.827008,-73.888536
40.87107,-73.904914
40.829073,-73.898162
40.736818,-73.727995
40.70696,-73.810295
40.731075,-73.780326
40.813375,-73.922228
40.87658,-73.862761
40.828024,-73.867858
